City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
226,Mecca,SA,21.4267,39.8261,80.87,48,0,1.52,clear sky
227,Ancud,CL,-41.8697,-73.8203,42.78,87,32,4.5,scattered clouds
228,Rosetta,EG,31.4044,30.4164,62.37,77,1,11.61,clear sky
229,Acari,PE,-15.4311,-74.6158,68.2,81,91,0.96,overcast clouds
230,Lenger,KZ,42.183,69.8839,65.64,37,99,2.1,overcast clouds
231,Campbellsville,US,37.3434,-85.3419,59.11,44,85,10.27,overcast clouds
232,West Wendover,US,40.7391,-114.0733,56.41,23,0,27.63,clear sky
233,Hasaki,JP,35.7333,140.8333,57.6,86,100,16.93,moderate rain
234,Arman,RU,59.7,150.1667,44.02,67,100,12.17,overcast clouds
235,Zhigansk,RU,66.7697,123.3711,28.65,95,84,12.08,broken clouds
236,Qui Nhon,VN,13.7667,109.2333,84.18,74,92,5.79,overcast clouds
237,Kasongo-Lunda,CD,-6.4667,16.8167,69.21,98,88,1.01,overcast clouds
238,Genhe,CN,50.7833,121.5167,38.77,74,100,6.53,overcast clouds
239,Yeppoon,AU,-23.1333,150.7333,80.38,73,38,16.82,scattered clouds
240,Broome,US,42.2506,-75.833,36.37,56,0,6.91,clear sky
241,Bonthe,SL,7.5264,-12.505,77.74,88,100,6.87,light rain
242,Dunedin,NZ,-45.8742,170.5036,57.79,68,1,1.99,clear sky
243,Taminango,CO,1.5749,-77.2867,63.0,91,100,2.3,light rain
244,Benghazi,LY,32.1167,20.0667,68.11,54,85,12.26,overcast clouds
245,Ust-Nera,RU,64.5667,143.2,22.44,74,15,5.26,few clouds
246,Namalenga,TZ,-10.95,39.1,64.38,99,50,2.77,scattered clouds
247,Mahajanga,MG,-15.7167,46.3167,71.62,94,40,4.61,scattered clouds
248,Cidreira,BR,-30.1811,-50.2056,66.33,83,100,9.8,overcast clouds
249,San Patricio,US,28.017,-97.5169,76.89,83,16,13.85,few clouds
250,Kilindoni,TZ,-7.9139,39.6668,79.0,79,34,17.31,light rain
251,Barranca,PE,-10.75,-77.7667,65.61,89,64,4.94,broken clouds
252,Boyolangu,ID,-8.1181,111.8935,86.13,70,24,4.05,few clouds
253,Port Hedland,AU,-20.3167,118.5667,77.05,69,100,11.5,light rain
254,Fukagawa,JP,43.7081,142.0392,55.45,33,100,9.75,overcast clouds
255,Fenyi,CN,27.8112,114.6681,57.13,92,100,3.42,light rain
256,Killybegs,IE,54.6333,-8.45,45.23,87,66,4.36,broken clouds
257,Ojinaga,MX,29.5667,-104.4167,85.15,15,0,0.0,clear sky
258,Durant,US,33.994,-96.3708,73.76,75,40,8.05,scattered clouds
